TagID,TagName,categoryname,categoryid
1,Pålägg,"Skinka pålägg",66
1,Pålägg,"Kokt Skinka",1388
1,Pålägg,"Chorizo Pålägg",3733
1,Pålägg,"Grillad Kyckling Pålägg",3737
1,Pålägg,"Kalkon Pålägg",3734
1,Pålägg,"Rostbiff Pålägg",3736
1,Pålägg,"Övriga Pålägg",3328
1,Pålägg,Hårdost,3059
1,Pålägg,"Mesost & Messmör",3061
1,Pålägg,Färskost,2754
1,Pålägg,Mjukost,514
1,Pålägg,"Mjukost Smaksatt",2798
1,Pålägg,Tubost,2797
1,Pålägg,"Skivad Ost",3919
1,Pålägg,"Kalkon Rökt",2165
1,Pålägg,Leverpastej,2779
1,Pålägg,Kaviar,538
1,Pålägg,Marmelad,257
1,Pålägg,Nötsmör,1082
1,Pålägg,"Salami pålägg",119
1,Pålägg,"Rökt Skinka",762
1,Pålägg,Serranoskinka,765
1,Pålägg,Grevéost,679
1,Pålägg,Herrgårdsost,565
1,Pålägg,Hushållsost,563
1,Pålägg,Goudaost,94
1,Pålägg,Emmentalerost,422
1,Pålägg,"Edamerost Skivad",4302
1,Pålägg,Edamerost,141
1,Pålägg,"Prästost Lagrad",4304
1,Pålägg,Prästost,61
1,Pålägg,Stureost,130
1,Pålägg,Sveciaost,93
1,Pålägg,Västerbottenost,146
1,Pålägg,"Pastejer Övriga Sorter",1245
3,Skinka,"Kokt Skinka",1388
3,Skinka,"Rökt Skinka",762
4,clementin,Småcitrus,3230
4,clementin,"Mandariner i Fruktkonserver",980
5,mandarin,Småcitrus,3230
7,satsumas,Småcitrus,3230
8,morötter,Morötter,175
8,morötter,"Vanliga morötter",3767
8,morötter,"Frysta Morötter",3769
8,morötter,"Morötter i Knippe",4226
12,bananer,Banan,164
17,köttfärs,Köttfärs,449
17,köttfärs,"Köttfärs - Nöt",848
17,köttfärs,"Köttfärs - Bland",2162
24,havremjölk,"Havre-, Soja-, Mandel-, Hasselnöts- & Risdryck",511
24,havremjölk,"Havredryck Naturell",3358
24,havremjölk,"Havredryck Smaksatt",3359
28,rädisor,Rädisor,633
29,joghurt,Yoghurt,245
32,youghurt,Yoghurt,245
33,yohurt,Yoghurt,245
34,yoghurt,Yoghurt,245
34,yoghurt,"Yoghurt Smaksatt",267
36,butiksbakat,Bageribröd,5374
37,vindruvor,Vindruvor,605
38,isbergssallad,Isbergssallat,791
39,isbergssallat,Isbergssallat,791
40,sallad,Sallat,165
41,sallat,Salladsmix,2197
41,sallat,Sallat,165
